n	num	area	avg_vel	std_vel	max_vel	avg_x	avg_y	std_x	std_y	max_x	max_y	num1	num2	num3	num4	num5
1236	106	10676.0	1.79	0.11	5.21	1.06	0.92	0.11	0.1	4.3	4.15	33	42	29	2	0.0
1237	103	9881.0	1.81	0.12	4.66	0.76	0.75	0.11	0.12	3.86	3.93	22	51	27	3	0.0
1238	105	9225.0	1.82	0.11	4.62	0.9	0.85	0.11	0.11	3.9	3.92	34	43	26	2	0.0
1239	87	8582.0	1.85	0.12	4.81	0.92	0.83	0.12	0.13	3.68	4.14	26	30	30	1	0.0
1240	101	9526.0	1.85	0.12	4.65	0.81	0.81	0.12	0.12	3.93	4.37	36	36	26	3	0.0
1241	103	9217.0	1.75	0.1	4.64	0.94	0.89	0.09	0.1	3.77	3.92	37	38	25	3	0.0
1242	118	10085.0	1.89	0.09	5.04	1.12	0.89	0.1	0.09	4.11	4.96	43	40	34	1	0.0
1243	81	7762.0	1.92	0.12	4.7	0.92	0.99	0.12	0.11	3.66	4.0	19	34	25	3	0.0
1244	82	8534.0	1.87	0.11	4.91	0.9	1.16	0.11	0.11	3.24	4.39	19	35	27	1	0.0
1245	102	8567.0	1.88	0.1	4.81	0.9	0.9	0.11	0.1	3.7	4.03	29	47	24	2	0.0
1246	104	9906.0	1.78	0.1	4.89	0.95	0.9	0.1	0.1	3.69	4.83	28	45	28	3	0.0
1247	105	9595.0	1.78	0.1	4.87	0.98	0.79	0.1	0.1	4.41	4.66	42	33	28	2	0.0
1248	106	8456.0	1.89	0.09	5.66	0.46	0.94	0.09	0.09	3.58	5.13	34	42	28	2	0.0
1249	87	8297.0	1.79	0.1	5.17	0.74	1.08	0.09	0.11	2.54	5.17	23	38	24	2	0.0
1250	123	11146.0	1.76	0.09	5.28	0.99	0.91	0.1	0.09	3.02	4.5	33	54	34	2	0.0
1251	87	9682.0	1.84	0.1	5.07	1.05	0.94	0.12	0.1	3.38	4.46	26	33	26	1	1
1252	116	9432.0	1.87	0.11	5.73	0.92	1.03	0.11	0.11	4.72	5.18	42	48	23	3	0.0
1253	91	8678.0	1.83	0.11	5.16	0.68	0.9	0.1	0.1	4.78	4.1	25	36	27	3	0.0
1254	103	9894.0	1.82	0.1	5.6	1.08	0.88	0.1	0.11	3.57	4.65	35	41	24	3	0.0
1255	100	8446.0	1.85	0.1	5.08	0.75	0.92	0.1	0.1	3.89	4.47	27	46	25	2	0.0
1256	89	10311.0	1.79	0.11	5.46	0.55	1.1	0.11	0.12	2.64	5.21	22	38	25	4	0.0
1257	89	9558.0	1.74	0.09	4.97	0.75	1.03	0.1	0.1	3.25	4.41	18	44	24	3	0.0
1258	97	9730.0	1.75	0.1	5.46	0.83	0.88	0.12	0.1	4.47	4.74	34	38	22	1	2
1259	86	7946.0	1.8	0.11	4.88	0.99	0.7	0.12	0.12	4.0	4.3	27	34	24	1	0.0
1260	106	8237.0	1.84	0.11	5.14	1.0	1.16	0.09	0.1	3.61	4.79	32	47	27	0.0	0.0
